============================================================
LOG DE ANÁLISIS LÉXICO - AVANCE 1
============================================================
Desarrollador : CamilaMoran
Fecha y Hora  : 14/06/2026 19:38:57
Archivo Test  : algoritmo_camila.rb
============================================================

TIPO TOKEN               VALOR                         LÍNEA     POSICIÓN  
--------------------------------------------------------------------------------
CONSTANTE                IVA                           6         196       
ASIGNACION               =                             6         200       
FLOTANTE                 0.15                          6         202       
CONSTANTE                LIMITE_STOCK                  7         207       
ASIGNACION               =                             7         220       
ENTERO                   20                            7         222       
DEF                      def                           9         226       
VARIABLE_LOCAL           calcular_total                9         230       
LPAREN                   (                             9         244       
VARIABLE_LOCAL           precio                        9         245       
COMA                     ,                             9         251       
VARIABLE_LOCAL           cantidad                      9         253       
RPAREN                   )                             9         261       
VARIABLE_INSTANCIA       @subtotal                     11        268       
ASIGNACION               =                             11        278       
VARIABLE_LOCAL           precio                        11        280       
PRODUCTO                 *                             11        287       
VARIABLE_LOCAL           cantidad                      11        289       
IF                       if                            13        303       
VARIABLE_INSTANCIA       @subtotal                     13        306       
MAYORIGUAL               >=                            13        316       
ENTERO                   100                           13        319       
VARIABLE_INSTANCIA       @subtotal                     14        331       
MASIGUAL                 +=                            14        341       
ENTERO                   10                            14        344       
ELSIF                    elsif                         16        352       
VARIABLE_INSTANCIA       @subtotal                     16        358       
IGUALDAD                 ==                            16        368       
ENTERO                   50                            16        371       
VARIABLE_INSTANCIA       @subtotal                     17        382       
MASIGUAL                 +=                            17        392       
ENTERO                   5                             17        395       
ELSE                     else                          19        402       
VARIABLE_INSTANCIA       @subtotal                     20        415       
MENOSIGUAL               -=                            20        425       
ENTERO                   2                             20        428       
END                      end                           22        435       
RETURN                   return                        24        444       
VARIABLE_INSTANCIA       @subtotal                     24        451       
END                      end                           26        462       
VARIABLE_LOCAL           producto                      28        467       
ASIGNACION               =                             28        476       
CADENA                   "Laptop"                      28        478       
VARIABLE_LOCAL           precio                        29        487       
ASIGNACION               =                             29        494       
FLOTANTE                 25.5                          29        496       
VARIABLE_LOCAL           cantidad                      30        501       
ASIGNACION               =                             30        510       
ENTERO                   4                             30        512       
VARIABLE_LOCAL           total                         32        515       
ASIGNACION               =                             32        521       
VARIABLE_LOCAL           calcular_total                32        523       
LPAREN                   (                             32        537       
VARIABLE_LOCAL           precio                        32        538       
COMA                     ,                             32        544       
VARIABLE_LOCAL           cantidad                      32        546       
RPAREN                   )                             32        554       
VARIABLE_LOCAL           stock                         34        557       
ASIGNACION               =                             34        563       
ENTERO                   30                            34        565       
VARIABLE_LOCAL           ventas                        35        568       
ASIGNACION               =                             35        575       
ENTERO                   0                             35        577       
WHILE                    while                         37        580       
VARIABLE_LOCAL           stock                         37        586       
MAYOR                    >                             37        592       
CONSTANTE                LIMITE_STOCK                  37        594       
VARIABLE_LOCAL           stock                         39        612       
MENOSIGUAL               -=                            39        618       
ENTERO                   2                             39        621       
VARIABLE_LOCAL           ventas                        40        627       
MASIGUAL                 +=                            40        634       
ENTERO                   1                             40        637       
PUTS                     puts                          42        644       
VARIABLE_LOCAL           stock                         42        649       
END                      end                           44        656       
VARIABLE_LOCAL           descuento                     46        661       
ASIGNACION               =                             46        671       
VARIABLE_LOCAL           total                         46        673       
MODULO                   %                             46        679       
ENTERO                   3                             46        681       
VARIABLE_LOCAL           estado_activo                 48        684       
ASIGNACION               =                             48        698       
TRUE                     true                          48        700       
VARIABLE_LOCAL           cliente                       49        705       
ASIGNACION               =                             49        713       
NIL                      nil                           49        715       
IF                       if                            51        720       
VARIABLE_LOCAL           stock                         51        723       
MAYORIGUAL               >=                            51        729       
ENTERO                   10                            51        732       
AND                      &&                            51        735       
VARIABLE_LOCAL           estado_activo                 51        738       
IGUALDAD                 ==                            51        752       
TRUE                     true                          51        755       
PUTS                     puts                          53        765       
CADENA                   "Stock disponible"            53        770       
ELSIF                    elsif                         55        790       
VARIABLE_LOCAL           stock                         55        796       
MENORIGUAL               <=                            55        802       
ENTERO                   5                             55        805       
PUTS                     puts                          57        812       
CADENA                   "Inventario critico"          57        817       
ELSE                     else                          59        839       
PUTS                     puts                          61        849       
CADENA                   "Inventario estable"          61        854       
END                      end                           63        876       
VARIABLE_LOCAL           productos                     65        881       
ASIGNACION               =                             65        891       
LBRACKET                 [                             65        893       
ENTERO                   10                            65        894       
COMA                     ,                             65        896       
ENTERO                   20                            65        897       
COMA                     ,                             65        899       
ENTERO                   30                            65        900       
COMA                     ,                             65        902       
ENTERO                   40                            65        903       
RBRACKET                 ]                             65        905       
PUTS                     puts                          67        908       
VARIABLE_LOCAL           producto                      67        913       
PUTS                     puts                          68        922       
VARIABLE_LOCAL           total                         68        927       
PUTS                     puts                          69        933       
VARIABLE_LOCAL           productos                     69        938       
