=== LOG DE ANÁLISIS LEXICO ===
Usuario: caalmora
Fecha: 2026-07-11 20:10:53
========================================
Línea 1, Col 1 | CONSTANTE : IVA
Línea 1, Col 5 | ASIGNACION : =
Línea 1, Col 7 | FLOTANTE : 0.15
Línea 2, Col 1 | CONSTANTE : LIMITE_STOCK
Línea 2, Col 14 | ASIGNACION : =
Línea 2, Col 16 | ENTERO : 20
Línea 4, Col 1 | DEF : def
Línea 4, Col 5 | VARIABLE_LOCAL : calcular_total
Línea 4, Col 19 | LPAREN : (
Línea 4, Col 20 | VARIABLE_LOCAL : precio
Línea 4, Col 26 | COMA : ,
Línea 4, Col 28 | VARIABLE_LOCAL : cantidad
Línea 4, Col 36 | RPAREN : )
Línea 5, Col 5 | VARIABLE_INSTANCIA : @subtotal
Línea 5, Col 15 | ASIGNACION : =
Línea 5, Col 17 | VARIABLE_LOCAL : precio
Línea 5, Col 24 | PRODUCTO : *
Línea 5, Col 26 | VARIABLE_LOCAL : cantidad
Línea 6, Col 5 | IF : if
Línea 6, Col 8 | VARIABLE_INSTANCIA : @subtotal
Línea 6, Col 18 | MAYORIGUAL : >=
Línea 6, Col 21 | ENTERO : 100
Línea 7, Col 9 | VARIABLE_INSTANCIA : @subtotal
Línea 7, Col 19 | MASIGUAL : +=
Línea 7, Col 22 | ENTERO : 10
Línea 8, Col 5 | ELSIF : elsif
Línea 8, Col 11 | VARIABLE_INSTANCIA : @subtotal
Línea 8, Col 21 | IGUALDAD : ==
Línea 8, Col 24 | ENTERO : 50
Línea 9, Col 9 | VARIABLE_INSTANCIA : @subtotal
Línea 9, Col 19 | MASIGUAL : +=
Línea 9, Col 22 | ENTERO : 5
Línea 10, Col 5 | ELSE : else
Línea 11, Col 9 | VARIABLE_INSTANCIA : @subtotal
Línea 11, Col 19 | MENOSIGUAL : -=
Línea 11, Col 22 | ENTERO : 2
Línea 12, Col 5 | END : end
Línea 13, Col 5 | RETURN : return
Línea 13, Col 12 | VARIABLE_INSTANCIA : @subtotal
Línea 14, Col 1 | END : end
Línea 16, Col 1 | VARIABLE_LOCAL : producto
Línea 16, Col 10 | ASIGNACION : =
Línea 16, Col 12 | CADENA : "Laptop"
Línea 17, Col 1 | VARIABLE_LOCAL : precio
Línea 17, Col 8 | ASIGNACION : =
Línea 17, Col 10 | FLOTANTE : 25.5
Línea 18, Col 1 | VARIABLE_LOCAL : cantidad
Línea 18, Col 10 | ASIGNACION : =
Línea 18, Col 12 | ENTERO : 4
Línea 19, Col 1 | VARIABLE_LOCAL : total
Línea 19, Col 7 | ASIGNACION : =
Línea 19, Col 9 | VARIABLE_LOCAL : calcular_total
Línea 19, Col 23 | LPAREN : (
Línea 19, Col 24 | VARIABLE_LOCAL : precio
Línea 19, Col 30 | COMA : ,
Línea 19, Col 32 | VARIABLE_LOCAL : cantidad
Línea 19, Col 40 | RPAREN : )
Línea 20, Col 1 | VARIABLE_LOCAL : stock
Línea 20, Col 7 | ASIGNACION : =
Línea 20, Col 9 | ENTERO : 30
Línea 21, Col 1 | VARIABLE_LOCAL : ventas
Línea 21, Col 8 | ASIGNACION : =
Línea 21, Col 10 | ENTERO : 0
Línea 22, Col 1 | WHILE : while
Línea 22, Col 7 | VARIABLE_LOCAL : stock
Línea 22, Col 13 | MAYOR : >
Línea 22, Col 15 | CONSTANTE : LIMITE_STOCK
Línea 23, Col 5 | VARIABLE_LOCAL : stock
Línea 23, Col 11 | MENOSIGUAL : -=
Línea 23, Col 14 | ENTERO : 2
Línea 24, Col 5 | VARIABLE_LOCAL : ventas
Línea 24, Col 12 | MASIGUAL : +=
Línea 24, Col 15 | ENTERO : 1
Línea 25, Col 5 | PUTS : puts
Línea 25, Col 10 | VARIABLE_LOCAL : stock
Línea 27, Col 1 | END : end
Línea 28, Col 1 | VARIABLE_LOCAL : descuento
Línea 28, Col 11 | ASIGNACION : =
Línea 28, Col 13 | VARIABLE_LOCAL : total
Línea 28, Col 19 | MODULO : %
