=== LOG DE ANÁLISIS LEXICO ===
Usuario: caalmora
Fecha: 2026-07-13 09:19:09
========================================
Línea 1, Col 1 | CONSTANTE : IMPUESTO
Línea 1, Col 10 | ASIGNACION : =
Línea 1, Col 12 | ENTERO : 12
Línea 2, Col 1 | VARIABLE_LOCAL : precio
Línea 2, Col 8 | ASIGNACION : =
Línea 2, Col 10 | ENTERO : 100
Línea 3, Col 1 | VARIABLE_LOCAL : estado
Línea 3, Col 8 | ASIGNACION : =
Línea 3, Col 10 | TRUE : true
Línea 6, Col 1 | DEF : def
Línea 6, Col 5 | VARIABLE_LOCAL : calcular_total
Línea 6, Col 19 | LPAREN : (
Línea 6, Col 20 | VARIABLE_LOCAL : monto
Línea 6, Col 25 | COMA : ,
Línea 6, Col 27 | VARIABLE_LOCAL : iva
Línea 6, Col 30 | RPAREN : )
Línea 7, Col 5 | VARIABLE_LOCAL : calculo
Línea 7, Col 13 | ASIGNACION : =
Línea 7, Col 15 | VARIABLE_LOCAL : monto
Línea 7, Col 21 | MAS : +
Línea 7, Col 23 | VARIABLE_LOCAL : iva
Línea 8, Col 5 | RETURN : return
Línea 8, Col 12 | VARIABLE_LOCAL : calculo
Línea 9, Col 1 | END : end
Línea 12, Col 1 | IF : if
Línea 12, Col 4 | VARIABLE_LOCAL : precio
Línea 12, Col 11 | MAYOR : >
Línea 12, Col 13 | ENTERO : 50
Línea 12, Col 16 | AND : &&
Línea 12, Col 19 | VARIABLE_LOCAL : estado
Línea 12, Col 26 | IGUALDAD : ==
Línea 12, Col 29 | TRUE : true
Línea 13, Col 5 | VARIABLE_LOCAL : total
Línea 13, Col 11 | ASIGNACION : =
Línea 13, Col 13 | VARIABLE_LOCAL : calcular_total
Línea 13, Col 27 | LPAREN : (
Línea 13, Col 28 | VARIABLE_LOCAL : precio
Línea 13, Col 34 | COMA : ,
Línea 13, Col 36 | CONSTANTE : IMPUESTO
Línea 13, Col 44 | RPAREN : )
Línea 14, Col 5 | PUTS : puts
Línea 14, Col 10 | VARIABLE_LOCAL : total
Línea 15, Col 1 | ELSE : else
Línea 17, Col 1 | END : end
Línea 20, Col 1 | VARIABLE_LOCAL : contador
Línea 20, Col 10 | ASIGNACION : =
Línea 20, Col 12 | ENTERO : 0
Línea 21, Col 1 | WHILE : while
Línea 21, Col 7 | VARIABLE_LOCAL : contador
Línea 21, Col 16 | MENOR : <
Línea 21, Col 18 | ENTERO : 3
Línea 22, Col 5 | VARIABLE_LOCAL : contador
Línea 22, Col 14 | MASIGUAL : +=
Línea 22, Col 17 | ENTERO : 1
Línea 23, Col 1 | END : end
Línea 26, Col 1 | VARIABLE_LOCAL : mi_lista
Línea 26, Col 10 | ASIGNACION : =
Línea 26, Col 12 | LBRACKET : [
Línea 26, Col 13 | ENTERO : 10
Línea 26, Col 15 | COMA : ,
Línea 26, Col 17 | ENTERO : 20
Línea 26, Col 19 | COMA : ,
Línea 26, Col 21 | ENTERO : 30
Línea 26, Col 23 | RBRACKET : ]
Línea 27, Col 1 | VARIABLE_LOCAL : mi_hash
Línea 27, Col 9 | ASIGNACION : =
Línea 27, Col 11 | LBRACE : {
Línea 27, Col 13 | ENTERO : 1
Línea 27, Col 15 | ASIGNACION : =
Línea 27, Col 16 | MAYOR : >
Línea 27, Col 18 | ENTERO : 100
Línea 27, Col 21 | COMA : ,
Línea 27, Col 23 | ENTERO : 2
Línea 27, Col 25 | ASIGNACION : =
Línea 27, Col 26 | MAYOR : >
Línea 27, Col 28 | ENTERO : 200
Línea 27, Col 32 | RBRACE : }
