=== LOG DE ANÁLISIS LEXICO ===
Usuario: joadguer
Fecha: 2026-07-10 20:48:35
========================================
Línea 5, Col 1 | CONSTANTE : IMPUESTO
Línea 5, Col 10 | ASIGNACION : =
Línea 5, Col 12 | ENTERO : 12
Línea 6, Col 1 | VARIABLE_LOCAL : precio
Línea 6, Col 8 | ASIGNACION : =
Línea 6, Col 10 | ENTERO : 100
Línea 7, Col 1 | VARIABLE_LOCAL : estado
Línea 7, Col 8 | ASIGNACION : =
Línea 7, Col 10 | TRUE : true
Línea 10, Col 1 | DEF : def
Línea 10, Col 5 | VARIABLE_LOCAL : calcular_total
Línea 10, Col 19 | LPAREN : (
Línea 10, Col 20 | VARIABLE_LOCAL : monto
Línea 10, Col 25 | COMA : ,
Línea 10, Col 27 | VARIABLE_LOCAL : iva
Línea 10, Col 30 | RPAREN : )
Línea 11, Col 5 | VARIABLE_LOCAL : calculo
Línea 11, Col 13 | ASIGNACION : =
Línea 11, Col 15 | VARIABLE_LOCAL : monto
Línea 11, Col 21 | MAS : +
Línea 11, Col 23 | VARIABLE_LOCAL : iva
Línea 12, Col 5 | RETURN : return
Línea 12, Col 12 | VARIABLE_LOCAL : calculo
Línea 13, Col 1 | END : end
Línea 16, Col 1 | IF : if
Línea 16, Col 4 | VARIABLE_LOCAL : precio
Línea 16, Col 11 | MAYOR : >
Línea 16, Col 13 | ENTERO : 50
Línea 16, Col 16 | AND : &&
Línea 16, Col 19 | VARIABLE_LOCAL : estado
Línea 16, Col 26 | IGUALDAD : ==
Línea 16, Col 29 | TRUE : true
Línea 17, Col 5 | VARIABLE_LOCAL : total
Línea 17, Col 11 | ASIGNACION : =
Línea 17, Col 13 | VARIABLE_LOCAL : calcular_total
Línea 17, Col 27 | LPAREN : (
Línea 17, Col 28 | VARIABLE_LOCAL : precio
Línea 17, Col 34 | COMA : ,
Línea 17, Col 36 | CONSTANTE : IMPUESTO
Línea 17, Col 44 | RPAREN : )
Línea 18, Col 5 | PUTS : puts
Línea 18, Col 10 | VARIABLE_LOCAL : total
Línea 19, Col 1 | ELSE : else
Línea 20, Col 5 | PUTS : puts
Línea 20, Col 10 | ENTERO : 0
Línea 21, Col 1 | END : end
Línea 24, Col 1 | VARIABLE_LOCAL : contador
Línea 24, Col 10 | ASIGNACION : =
Línea 24, Col 12 | ENTERO : 0
Línea 25, Col 1 | WHILE : while
Línea 25, Col 7 | VARIABLE_LOCAL : contador
Línea 25, Col 16 | MENOR : <
Línea 25, Col 18 | ENTERO : 3
Línea 26, Col 5 | VARIABLE_LOCAL : contador
Línea 26, Col 14 | MASIGUAL : +=
Línea 26, Col 17 | ENTERO : 1
Línea 27, Col 1 | END : end
Línea 30, Col 1 | VARIABLE_LOCAL : mi_lista
Línea 30, Col 10 | ASIGNACION : =
Línea 30, Col 12 | LBRACKET : [
Línea 30, Col 13 | ENTERO : 10
Línea 30, Col 15 | COMA : ,
Línea 30, Col 17 | ENTERO : 20
Línea 30, Col 19 | COMA : ,
Línea 30, Col 21 | ENTERO : 30
Línea 30, Col 23 | RBRACKET : ]
Línea 31, Col 1 | VARIABLE_LOCAL : mi_hash
Línea 31, Col 9 | ASIGNACION : =
Línea 31, Col 11 | LBRACE : {
Línea 31, Col 13 | ENTERO : 1
Línea 31, Col 15 | ASIGNACION : =
Línea 31, Col 16 | MAYOR : >
Línea 31, Col 18 | ENTERO : 100
Línea 31, Col 21 | COMA : ,
Línea 31, Col 23 | ENTERO : 2
Línea 31, Col 25 | ASIGNACION : =
Línea 31, Col 26 | MAYOR : >
Línea 31, Col 28 | ENTERO : 200
Línea 31, Col 32 | RBRACE : }
