=== LOG DE ANÁLISIS LEXICO ===
Usuario: joadguer
Fecha de ejecución: 2026-06-21 14:13:26
----------------------------------------
Línea 6, Col 1 | CONSTANTE : IVA
Línea 6, Col 5 | ASIGNACION : =
Línea 6, Col 7 | FLOTANTE : 0.15
Línea 7, Col 1 | CONSTANTE : LIMITE_STOCK
Línea 7, Col 14 | ASIGNACION : =
Línea 7, Col 16 | ENTERO : 20
Línea 9, Col 1 | DEF : def
Línea 9, Col 5 | VARIABLE_LOCAL : calcular_total
Línea 9, Col 19 | LPAREN : (
Línea 9, Col 20 | VARIABLE_LOCAL : precio
Línea 9, Col 26 | COMA : ,
Línea 9, Col 28 | VARIABLE_LOCAL : cantidad
Línea 9, Col 36 | RPAREN : )
Línea 11, Col 5 | VARIABLE_INSTANCIA : @subtotal
Línea 11, Col 15 | ASIGNACION : =
Línea 11, Col 17 | VARIABLE_LOCAL : precio
Línea 11, Col 24 | PRODUCTO : *
Línea 11, Col 26 | VARIABLE_LOCAL : cantidad
Línea 13, Col 5 | IF : if
Línea 13, Col 8 | VARIABLE_INSTANCIA : @subtotal
Línea 13, Col 18 | MAYORIGUAL : >=
Línea 13, Col 21 | ENTERO : 100
Línea 14, Col 9 | VARIABLE_INSTANCIA : @subtotal
Línea 14, Col 19 | MASIGUAL : +=
Línea 14, Col 22 | ENTERO : 10
Línea 16, Col 5 | ELSIF : elsif
Línea 16, Col 11 | VARIABLE_INSTANCIA : @subtotal
Línea 16, Col 21 | IGUALDAD : ==
Línea 16, Col 24 | ENTERO : 50
Línea 17, Col 9 | VARIABLE_INSTANCIA : @subtotal
Línea 17, Col 19 | MASIGUAL : +=
Línea 17, Col 22 | ENTERO : 5
Línea 19, Col 5 | ELSE : else
Línea 20, Col 9 | VARIABLE_INSTANCIA : @subtotal
Línea 20, Col 19 | MENOSIGUAL : -=
Línea 20, Col 22 | ENTERO : 2
Línea 22, Col 5 | END : end
Línea 24, Col 5 | RETURN : return
Línea 24, Col 12 | VARIABLE_INSTANCIA : @subtotal
Línea 26, Col 1 | END : end
Línea 28, Col 1 | VARIABLE_LOCAL : producto
Línea 28, Col 10 | ASIGNACION : =
Línea 28, Col 12 | CADENA : "Laptop"
Línea 29, Col 1 | VARIABLE_LOCAL : precio
Línea 29, Col 8 | ASIGNACION : =
